,date,o3
1357583,2013-11-02,0.044
1357587,2013-11-03,0.047
1357591,2013-11-04,0.048
1357595,2013-11-05,0.038
1357599,2013-11-06,0.036
1357603,2013-11-07,0.036
1357607,2013-11-08,0.043
1357611,2013-11-09,0.049
1357615,2013-11-10,0.048
1357619,2013-11-11,0.047
1357623,2013-11-12,0.032
1357627,2013-11-13,0.035
1357631,2013-11-14,0.036
1357635,2013-11-15,0.042
1357639,2013-11-16,0.042
1357643,2013-11-17,0.043
1357647,2013-11-18,0.044
1357651,2013-11-19,0.043
1357655,2013-11-20,0.035
1357659,2013-11-21,0.036
1357663,2013-11-22,0.023
1357667,2013-11-23,0.032
1357671,2013-11-24,0.034
1357675,2013-11-25,0.032
1357679,2013-11-26,0.013
1357683,2013-11-27,0.031
1357687,2013-11-28,0.038
1357691,2013-11-29,0.015
1357695,2013-11-30,0.034
1357699,2013-12-01,0.032
1357703,2013-12-02,0.012
1357707,2013-12-03,0.038
1357711,2013-12-04,0.042
1357715,2013-12-05,0.043
1357719,2013-12-06,0.041
1357723,2013-12-07,0.036
1357727,2013-12-08,0.03
1357731,2013-12-09,0.033
1357735,2013-12-10,0.034
1357739,2013-12-11,0.025
1357743,2013-12-12,0.02
1357747,2013-12-13,0.029
1357751,2013-12-14,0.025
1357755,2013-12-15,0.032
1357759,2013-12-16,0.031
1357763,2013-12-17,0.021
1357767,2013-12-18,0.036
1357771,2013-12-19,0.037
1357775,2013-12-20,0.022
1357779,2013-12-21,0.031
1357783,2013-12-22,0.034
1357787,2013-12-23,0.036
1357791,2013-12-24,0.027
1357795,2013-12-25,0.035
1357799,2013-12-26,0.03
1357803,2013-12-27,0.029
1357807,2013-12-28,0.021
1357811,2013-12-29,0.033
1357815,2013-12-30,0.02
1357819,2013-12-31,0.027
1357823,2013-01-01,0.022
1357827,2013-01-02,0.035
1357831,2013-01-03,0.016
1357835,2013-01-04,0.031
1357839,2013-01-05,0.018
1357843,2013-01-06,0.04
1357847,2013-01-07,0.032
1357851,2013-01-08,0.027
1357855,2013-01-09,0.035
1357859,2013-01-10,0.036
1357863,2013-01-11,0.037
1357867,2013-01-12,0.034
1357871,2013-01-13,0.039
1357875,2013-01-14,0.041
1357879,2013-01-15,0.027
1357883,2013-01-16,0.015
1357887,2013-01-17,0.018
1357891,2013-01-18,0.017
1357895,2013-01-19,0.027
1357899,2013-01-20,0.024
1357903,2013-01-21,0.017
1357907,2013-01-22,0.015
1357911,2013-01-23,0.025
1357915,2013-01-24,0.017
1357919,2013-01-25,0.008
1357923,2013-01-26,0.031
1357927,2013-01-27,0.037
1357931,2013-01-28,0.035
1357935,2013-01-29,0.033
1357939,2013-01-30,0.027
1357943,2013-01-31,0.015
1357947,2013-02-01,0.028
1357951,2013-02-02,0.014
1357955,2013-02-03,0.032
1357959,2013-02-04,0.038
1357963,2013-02-05,0.041
1357967,2013-02-06,0.044
1357971,2013-02-07,0.043
1357975,2013-02-08,0.043
1357979,2013-02-09,0.039
1357983,2013-02-10,0.039
1357987,2013-02-11,0.044
1357991,2013-02-12,0.038
1357995,2013-02-13,0.035
1357999,2013-02-14,0.029
1358003,2013-02-15,0.04
1358007,2013-02-16,0.044
1358011,2013-02-17,0.043
1358015,2013-02-18,0.047
1358019,2013-02-19,0.043
1358023,2013-02-20,0.043
1358027,2013-02-21,0.031
1358031,2013-02-22,0.043
1358035,2013-02-23,0.044
1358039,2013-02-24,0.046
1358043,2013-02-25,0.043
1358047,2013-02-26,0.029
1358051,2013-02-27,0.043
1358055,2013-02-28,0.028
1358059,2013-03-01,0.045
1358063,2013-03-02,0.05
1358067,2013-03-03,0.038
1358071,2013-03-04,0.037
1358075,2013-03-05,0.04
1358079,2013-03-06,0.038
